Position,Club,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points
1,Manchester City FC,38,27,5,6,83,32,51,86
2,Manchester United FC,38,21,11,6,73,44,29,74
3,Liverpool FC,38,20,9,9,68,42,26,69
4,Chelsea FC,38,19,10,9,58,36,22,67
5,Leicester City FC,38,20,6,12,68,50,18,66
6,West Ham United FC,38,19,8,11,62,47,15,65
7,Tottenham Hotspur FC,38,18,8,12,68,45,23,62
8,Arsenal FC,38,18,7,13,55,39,16,61
9,Leeds United FC,38,18,5,15,62,54,8,59
10,Everton FC,38,17,8,13,47,48,-1,59
11,Aston Villa FC,38,16,7,15,55,46,9,55
12,Newcastle United FC,38,12,9,17,46,62,-16,45
13,Wolverhampton Wanderers FC,38,12,9,17,36,52,-16,45
14,Crystal Palace FC,38,12,8,18,41,66,-25,44
15,Southampton FC,38,12,7,19,47,68,-21,43
16,Brighton & Hove Albion FC,38,9,14,15,40,46,-6,41
17,Burnley FC,38,10,9,19,33,55,-22,39
18,Fulham FC,38,5,13,20,27,53,-26,28
19,West Bromwich Albion FC,38,5,11,22,35,76,-41,26
20,Sheffield United FC,38,7,2,29,20,63,-43,23
